file,dataset,ver,mode,method,seed,idx,run_tag,aug_ratio,aug_bound,degree_thr,restricted,alpha,gamma,E0,total_added_edges,final_global_used_adds,add_ratio_of_E0,epochs_with_add
logs/1029/Cora_ML_aron_desc_inter_r10.00_fmr0.50_d0.50_gmm_seed0_idx0_a0.75_g0.90_rstr_ts041310_16222_32325.log,Cora_ML,aron_desc_inter,inter,gmm,0,0,,10.0,0.5,0.5,1,0.75,0.9,,0,0,,0
logs/1029/Cora_ML_aron_desc_inter_r10.00_fmr0.50_d0.50_gmm_seed0_idx0_a0.80_g1.00_rstr_ts041101_16222_391.log,Cora_ML,aron_desc_inter,inter,gmm,0,0,,10.0,0.5,0.5,1,0.8,1.0,,0,0,,0
logs/1029/Cora_ML_aron_desc_inter_r10.00_fmr0.50_d0.50_gmm_seed0_idx0_a0.90_g0.95_rstr_ts041518_16222_3219.log,Cora_ML,aron_desc_inter,inter,gmm,0,0,,10.0,0.5,0.5,1,0.9,0.95,,0,0,,0
logs/1029/Cora_ML_aron_desc_inter_r10.00_fmr0.50_d0.50_gmm_seed1_idx1_a0.75_g0.90_rstr_ts041932_16222_26301.log,Cora_ML,aron_desc_inter,inter,gmm,1,1,,10.0,0.5,0.5,1,0.75,0.9,,0,0,,0
logs/1029/Cora_ML_aron_desc_inter_r10.00_fmr0.50_d0.50_gmm_seed1_idx1_a0.80_g1.00_rstr_ts041725_16222_5188.log,Cora_ML,aron_desc_inter,inter,gmm,1,1,,10.0,0.5,0.5,1,0.8,1.0,,0,0,,0
logs/1029/Cora_ML_aron_desc_inter_r10.00_fmr0.50_d0.50_gmm_seed1_idx1_a0.90_g0.95_rstr_ts042140_16222_12137.log,Cora_ML,aron_desc_inter,inter,gmm,1,1,,10.0,0.5,0.5,1,0.9,0.95,,0,0,,0
logs/1029/Cora_ML_aron_desc_inter_r10.00_fmr0.50_d0.50_gmm_seed2_idx2_a0.75_g0.90_rstr_ts042556_16222_8688.log,Cora_ML,aron_desc_inter,inter,gmm,2,2,,10.0,0.5,0.5,1,0.75,0.9,,0,0,,0
logs/1029/Cora_ML_aron_desc_inter_r10.00_fmr0.50_d0.50_gmm_seed2_idx2_a0.80_g1.00_rstr_ts042347_16222_19755.log,Cora_ML,aron_desc_inter,inter,gmm,2,2,,10.0,0.5,0.5,1,0.8,1.0,,0,0,,0
logs/1029/Cora_ML_aron_desc_inter_r10.00_fmr0.50_d0.50_gmm_seed2_idx2_a0.90_g0.95_rstr_ts042803_16222_1320.log,Cora_ML,aron_desc_inter,inter,gmm,2,2,,10.0,0.5,0.5,1,0.9,0.95,,0,0,,0
logs/1029/Cora_ML_aron_desc_inter_r10.00_fmr0.50_d0.50_gmm_seed3_idx3_a0.75_g0.90_rstr_ts043218_16222_32018.log,Cora_ML,aron_desc_inter,inter,gmm,3,3,,10.0,0.5,0.5,1,0.75,0.9,,0,0,,0
logs/1029/Cora_ML_aron_desc_inter_r10.00_fmr0.50_d0.50_gmm_seed3_idx3_a0.80_g1.00_rstr_ts043010_16222_26433.log,Cora_ML,aron_desc_inter,inter,gmm,3,3,,10.0,0.5,0.5,1,0.8,1.0,,0,0,,0
logs/1029/Cora_ML_aron_desc_inter_r10.00_fmr0.50_d0.50_gmm_seed3_idx3_a0.90_g0.95_rstr_ts043425_16222_16589.log,Cora_ML,aron_desc_inter,inter,gmm,3,3,,10.0,0.5,0.5,1,0.9,0.95,,0,0,,0
logs/1029/Cora_ML_aron_desc_inter_r10.00_fmr0.50_d0.50_gmm_seed4_idx4_a0.75_g0.90_rstr_ts043841_16222_29316.log,Cora_ML,aron_desc_inter,inter,gmm,4,4,,10.0,0.5,0.5,1,0.75,0.9,,0,0,,0
logs/1029/Cora_ML_aron_desc_inter_r10.00_fmr0.50_d0.50_gmm_seed4_idx4_a0.80_g1.00_rstr_ts043634_16222_23890.log,Cora_ML,aron_desc_inter,inter,gmm,4,4,,10.0,0.5,0.5,1,0.8,1.0,,0,0,,0
logs/1029/Cora_ML_aron_desc_inter_r10.00_fmr0.50_d0.50_gmm_seed4_idx4_a0.90_g0.95_rstr_ts044048_16222_3473.log,Cora_ML,aron_desc_inter,inter,gmm,4,4,,10.0,0.5,0.5,1,0.9,0.95,,0,0,,0
logs/1029/Cora_ML_aron_desc_inter_r10.00_fmr0.50_d0.50_gmm_seed5_idx5_a0.75_g0.90_rstr_ts044503_16222_28913.log,Cora_ML,aron_desc_inter,inter,gmm,5,5,,10.0,0.5,0.5,1,0.75,0.9,,0,0,,0
logs/1029/Cora_ML_aron_desc_inter_r10.00_fmr0.50_d0.50_gmm_seed5_idx5_a0.80_g1.00_rstr_ts044255_16222_12071.log,Cora_ML,aron_desc_inter,inter,gmm,5,5,,10.0,0.5,0.5,1,0.8,1.0,,0,0,,0
logs/1029/Cora_ML_aron_desc_inter_r10.00_fmr0.50_d0.50_gmm_seed5_idx5_a0.90_g0.95_rstr_ts044710_16222_13456.log,Cora_ML,aron_desc_inter,inter,gmm,5,5,,10.0,0.5,0.5,1,0.9,0.95,,0,0,,0
logs/1029/Cora_ML_aron_desc_inter_r10.00_fmr0.50_d0.50_gmm_seed6_idx6_a0.75_g0.90_rstr_ts045125_16222_6209.log,Cora_ML,aron_desc_inter,inter,gmm,6,6,,10.0,0.5,0.5,1,0.75,0.9,,0,0,,0
logs/1029/Cora_ML_aron_desc_inter_r10.00_fmr0.50_d0.50_gmm_seed6_idx6_a0.80_g1.00_rstr_ts044918_16222_25684.log,Cora_ML,aron_desc_inter,inter,gmm,6,6,,10.0,0.5,0.5,1,0.8,1.0,,0,0,,0
logs/1029/Cora_ML_aron_desc_inter_r10.00_fmr0.50_d0.50_gmm_seed6_idx6_a0.90_g0.95_rstr_ts045333_16222_23848.log,Cora_ML,aron_desc_inter,inter,gmm,6,6,,10.0,0.5,0.5,1,0.9,0.95,,0,0,,0
logs/1029/Cora_ML_aron_desc_inter_r10.00_fmr0.50_d0.50_gmm_seed7_idx7_a0.75_g0.90_rstr_ts045749_16222_18778.log,Cora_ML,aron_desc_inter,inter,gmm,7,7,,10.0,0.5,0.5,1,0.75,0.9,,0,0,,0
logs/1029/Cora_ML_aron_desc_inter_r10.00_fmr0.50_d0.50_gmm_seed7_idx7_a0.80_g1.00_rstr_ts045542_16222_5886.log,Cora_ML,aron_desc_inter,inter,gmm,7,7,,10.0,0.5,0.5,1,0.8,1.0,,0,0,,0
logs/1029/Cora_ML_aron_desc_inter_r10.00_fmr0.50_d0.50_gmm_seed7_idx7_a0.90_g0.95_rstr_ts045957_16222_17043.log,Cora_ML,aron_desc_inter,inter,gmm,7,7,,10.0,0.5,0.5,1,0.9,0.95,,0,0,,0
logs/1029/Cora_ML_aron_desc_inter_r10.00_fmr0.50_d0.50_gmm_seed8_idx8_a0.75_g0.90_rstr_ts050414_16222_27528.log,Cora_ML,aron_desc_inter,inter,gmm,8,8,,10.0,0.5,0.5,1,0.75,0.9,,0,0,,0
logs/1029/Cora_ML_aron_desc_inter_r10.00_fmr0.50_d0.50_gmm_seed8_idx8_a0.80_g1.00_rstr_ts050205_16222_4261.log,Cora_ML,aron_desc_inter,inter,gmm,8,8,,10.0,0.5,0.5,1,0.8,1.0,,0,0,,0
logs/1029/Cora_ML_aron_desc_inter_r10.00_fmr0.50_d0.50_gmm_seed8_idx8_a0.90_g0.95_rstr_ts050622_16222_28845.log,Cora_ML,aron_desc_inter,inter,gmm,8,8,,10.0,0.5,0.5,1,0.9,0.95,,0,0,,0
logs/1029/Cora_ML_aron_desc_inter_r10.00_fmr0.50_d0.50_gmm_seed9_idx9_a0.75_g0.90_rstr_ts051037_16222_22377.log,Cora_ML,aron_desc_inter,inter,gmm,9,9,,10.0,0.5,0.5,1,0.75,0.9,,0,0,,0
logs/1029/Cora_ML_aron_desc_inter_r10.00_fmr0.50_d0.50_gmm_seed9_idx9_a0.80_g1.00_rstr_ts050830_16222_27555.log,Cora_ML,aron_desc_inter,inter,gmm,9,9,,10.0,0.5,0.5,1,0.8,1.0,,0,0,,0
logs/1029/Cora_ML_aron_desc_inter_r10.00_fmr0.50_d0.50_gmm_seed9_idx9_a0.90_g0.95_rstr_ts051244_16222_4303.log,Cora_ML,aron_desc_inter,inter,gmm,9,9,,10.0,0.5,0.5,1,0.9,0.95,,0,0,,0
logs/1029/Cora_ML_aron_desc_intra_r10.00_fmr0.50_d0.50_gmm_seed0_idx0_a0.75_g0.90_rstr_ts121627_16222_3567.log,Cora_ML,aron_desc_intra,intra,gmm,0,0,,10.0,0.5,0.5,1,0.75,0.9,,0,0,,0
logs/1029/Cora_ML_aron_desc_intra_r10.00_fmr0.50_d0.50_gmm_seed0_idx0_a0.80_g1.00_rstr_ts121418_16222_15671.log,Cora_ML,aron_desc_intra,intra,gmm,0,0,,10.0,0.5,0.5,1,0.8,1.0,,0,0,,0
logs/1029/Cora_ML_aron_desc_intra_r10.00_fmr0.50_d0.50_gmm_seed0_idx0_a0.90_g0.95_rstr_ts121836_16222_5938.log,Cora_ML,aron_desc_intra,intra,gmm,0,0,,10.0,0.5,0.5,1,0.9,0.95,,0,0,,0
logs/1029/Cora_ML_aron_desc_intra_r10.00_fmr0.50_d0.50_gmm_seed1_idx1_a0.75_g0.90_rstr_ts122256_16222_9566.log,Cora_ML,aron_desc_intra,intra,gmm,1,1,,10.0,0.5,0.5,1,0.75,0.9,,0,0,,0
logs/1029/Cora_ML_aron_desc_intra_r10.00_fmr0.50_d0.50_gmm_seed1_idx1_a0.80_g1.00_rstr_ts122045_16222_18566.log,Cora_ML,aron_desc_intra,intra,gmm,1,1,,10.0,0.5,0.5,1,0.8,1.0,,0,0,,0
logs/1029/Cora_ML_aron_desc_intra_r10.00_fmr0.50_d0.50_gmm_seed1_idx1_a0.90_g0.95_rstr_ts122506_16222_25631.log,Cora_ML,aron_desc_intra,intra,gmm,1,1,,10.0,0.5,0.5,1,0.9,0.95,,0,0,,0
logs/1029/Cora_ML_aron_desc_intra_r10.00_fmr0.50_d0.50_gmm_seed2_idx2_a0.75_g0.90_rstr_ts122926_16222_28405.log,Cora_ML,aron_desc_intra,intra,gmm,2,2,,10.0,0.5,0.5,1,0.75,0.9,,0,0,,0
logs/1029/Cora_ML_aron_desc_intra_r10.00_fmr0.50_d0.50_gmm_seed2_idx2_a0.80_g1.00_rstr_ts122717_16222_9222.log,Cora_ML,aron_desc_intra,intra,gmm,2,2,,10.0,0.5,0.5,1,0.8,1.0,,0,0,,0
logs/1029/Cora_ML_aron_desc_intra_r10.00_fmr0.50_d0.50_gmm_seed2_idx2_a0.90_g0.95_rstr_ts123135_16222_8436.log,Cora_ML,aron_desc_intra,intra,gmm,2,2,,10.0,0.5,0.5,1,0.9,0.95,,0,0,,0
logs/1029/Cora_ML_aron_desc_intra_r10.00_fmr0.50_d0.50_gmm_seed3_idx3_a0.75_g0.90_rstr_ts123554_16222_2247.log,Cora_ML,aron_desc_intra,intra,gmm,3,3,,10.0,0.5,0.5,1,0.75,0.9,,0,0,,0
logs/1029/Cora_ML_aron_desc_intra_r10.00_fmr0.50_d0.50_gmm_seed3_idx3_a0.80_g1.00_rstr_ts123345_16222_27876.log,Cora_ML,aron_desc_intra,intra,gmm,3,3,,10.0,0.5,0.5,1,0.8,1.0,,0,0,,0
logs/1029/Cora_ML_aron_desc_intra_r10.00_fmr0.50_d0.50_gmm_seed3_idx3_a0.90_g0.95_rstr_ts123803_16222_22003.log,Cora_ML,aron_desc_intra,intra,gmm,3,3,,10.0,0.5,0.5,1,0.9,0.95,,0,0,,0
logs/1029/Cora_ML_aron_desc_intra_r10.00_fmr0.50_d0.50_gmm_seed4_idx4_a0.75_g0.90_rstr_ts124222_16222_20401.log,Cora_ML,aron_desc_intra,intra,gmm,4,4,,10.0,0.5,0.5,1,0.75,0.9,,0,0,,0
