dataset,ver,mode,method,aug_ratio,aug_bound,degree_thr,restricted,seed,idx,E0,final_global_used_adds[a0.75_g0.90],add_ratio_of_E0[a0.75_g0.90],total_added_edges[a0.75_g0.90],epochs_with_add[a0.75_g0.90],final_global_used_adds[a0.80_g1.00],add_ratio_of_E0[a0.80_g1.00],total_added_edges[a0.80_g1.00],epochs_with_add[a0.80_g1.00],final_global_used_adds[a0.90_g0.95],add_ratio_of_E0[a0.90_g0.95],total_added_edges[a0.90_g0.95],epochs_with_add[a0.90_g0.95]
Cora_ML,aron_desc_inter,inter,gmm,10.0,0.5,0.5,1,0,0,,0,,0,0,0,,0,0,0,,0,0
Cora_ML,aron_desc_inter,inter,gmm,10.0,0.5,0.5,1,1,1,,0,,0,0,0,,0,0,0,,0,0
Cora_ML,aron_desc_inter,inter,gmm,10.0,0.5,0.5,1,2,2,,0,,0,0,0,,0,0,0,,0,0
Cora_ML,aron_desc_inter,inter,gmm,10.0,0.5,0.5,1,3,3,,0,,0,0,0,,0,0,0,,0,0
Cora_ML,aron_desc_inter,inter,gmm,10.0,0.5,0.5,1,4,4,,0,,0,0,0,,0,0,0,,0,0
Cora_ML,aron_desc_inter,inter,gmm,10.0,0.5,0.5,1,5,5,,0,,0,0,0,,0,0,0,,0,0
Cora_ML,aron_desc_inter,inter,gmm,10.0,0.5,0.5,1,6,6,,0,,0,0,0,,0,0,0,,0,0
Cora_ML,aron_desc_inter,inter,gmm,10.0,0.5,0.5,1,7,7,,0,,0,0,0,,0,0,0,,0,0
Cora_ML,aron_desc_inter,inter,gmm,10.0,0.5,0.5,1,8,8,,0,,0,0,0,,0,0,0,,0,0
Cora_ML,aron_desc_inter,inter,gmm,10.0,0.5,0.5,1,9,9,,0,,0,0,0,,0,0,0,,0,0
Cora_ML,aron_desc_intra,intra,gmm,10.0,0.5,0.5,1,0,0,,0,,0,0,0,,0,0,0,,0,0
Cora_ML,aron_desc_intra,intra,gmm,10.0,0.5,0.5,1,1,1,,0,,0,0,0,,0,0,0,,0,0
Cora_ML,aron_desc_intra,intra,gmm,10.0,0.5,0.5,1,2,2,,0,,0,0,0,,0,0,0,,0,0
Cora_ML,aron_desc_intra,intra,gmm,10.0,0.5,0.5,1,3,3,,0,,0,0,0,,0,0,0,,0,0
Cora_ML,aron_desc_intra,intra,gmm,10.0,0.5,0.5,1,4,4,,0,,0,0,0,,0,0,0,,0,0
Cora_ML,aron_desc_intra,intra,gmm,10.0,0.5,0.5,1,5,5,,0,,0,0,0,,0,0,0,,0,0
Cora_ML,aron_desc_intra,intra,gmm,10.0,0.5,0.5,1,6,6,,0,,0,0,0,,0,0,0,,0,0
Cora_ML,aron_desc_intra,intra,gmm,10.0,0.5,0.5,1,7,7,,0,,0,0,0,,0,0,0,,0,0
Cora_ML,aron_desc_intra,intra,gmm,10.0,0.5,0.5,1,8,8,,0,,0,0,0,,0,0,0,,0,0
Cora_ML,aron_desc_intra,intra,gmm,10.0,0.5,0.5,1,9,9,,0,,0,0,0,,0,0,0,,0,0
LastFMAsia,aron_desc_inter,inter,gmm,10.0,0.5,0.8,1,0,0,,0,,0,0,0,,0,0,0,,0,0
LastFMAsia,aron_desc_inter,inter,gmm,10.0,0.5,0.8,1,1,1,,0,,0,0,0,,0,0,0,,0,0
LastFMAsia,aron_desc_inter,inter,gmm,10.0,0.5,0.8,1,2,2,,0,,0,0,0,,0,0,0,,0,0
LastFMAsia,aron_desc_inter,inter,gmm,10.0,0.5,0.8,1,3,3,,0,,0,0,0,,0,0,0,,0,0
LastFMAsia,aron_desc_inter,inter,gmm,10.0,0.5,0.8,1,4,4,,0,,0,0,0,,0,0,0,,0,0
LastFMAsia,aron_desc_inter,inter,gmm,10.0,0.5,0.8,1,5,5,,0,,0,0,0,,0,0,0,,0,0
LastFMAsia,aron_desc_inter,inter,gmm,10.0,0.5,0.8,1,6,6,,0,,0,0,0,,0,0,0,,0,0
LastFMAsia,aron_desc_inter,inter,gmm,10.0,0.5,0.8,1,7,7,,0,,0,0,0,,0,0,0,,0,0
LastFMAsia,aron_desc_inter,inter,gmm,10.0,0.5,0.8,1,8,8,,0,,0,0,0,,0,0,0,,0,0
LastFMAsia,aron_desc_inter,inter,gmm,10.0,0.5,0.8,1,9,9,,0,,0,0,0,,0,0,0,,0,0
LastFMAsia,aron_desc_intra,intra,gmm,10.0,0.5,0.8,1,0,0,,0,,0,0,0,,0,0,0,,0,0
LastFMAsia,aron_desc_intra,intra,gmm,10.0,0.5,0.8,1,1,1,,0,,0,0,0,,0,0,0,,0,0
LastFMAsia,aron_desc_intra,intra,gmm,10.0,0.5,0.8,1,2,2,,0,,0,0,0,,0,0,0,,0,0
LastFMAsia,aron_desc_intra,intra,gmm,10.0,0.5,0.8,1,3,3,,0,,0,0,0,,0,0,0,,0,0
LastFMAsia,aron_desc_intra,intra,gmm,10.0,0.5,0.8,1,4,4,,0,,0,0,0,,0,0,0,,0,0
LastFMAsia,aron_desc_intra,intra,gmm,10.0,0.5,0.8,1,5,5,,0,,0,0,0,,0,0,0,,0,0
LastFMAsia,aron_desc_intra,intra,gmm,10.0,0.5,0.8,1,6,6,,0,,0,0,0,,0,0,0,,0,0
LastFMAsia,aron_desc_intra,intra,gmm,10.0,0.5,0.8,1,7,7,,0,,0,0,0,,0,0,0,,0,0
LastFMAsia,aron_desc_intra,intra,gmm,10.0,0.5,0.8,1,8,8,,0,,0,0,0,,0,0,0,,0,0
LastFMAsia,aron_desc_intra,intra,gmm,10.0,0.5,0.8,1,9,9,,0,,0,0,0,,0,0,0,,0,0
citeseer,aron_desc_inter,inter,gmm,10.0,0.5,0.9,1,0,0,,0,,0,0,0,,0,0,0,,0,0
citeseer,aron_desc_inter,inter,gmm,10.0,0.5,0.9,1,1,1,,0,,0,0,0,,0,0,0,,0,0
citeseer,aron_desc_inter,inter,gmm,10.0,0.5,0.9,1,2,2,,0,,0,0,0,,0,0,0,,0,0
citeseer,aron_desc_inter,inter,gmm,10.0,0.5,0.9,1,3,3,,0,,0,0,0,,0,0,0,,0,0
citeseer,aron_desc_inter,inter,gmm,10.0,0.5,0.9,1,4,4,,0,,0,0,0,,0,0,0,,0,0
