dataset,mode,alpha,gamma,seed,idx,run_tag,log_file,test_hit3,test_hit10
Cora_ML,inter,0.8,1.0,0,0,a0.80_g1.00_c0p0.01,log/1104/Cora_ML_aron_desc_inter_a0.80_g1.00_c0p0.01_seed0_r10.0_fmr0.5_d0.5_gmm_idx0_taga0.80_g1.00_c0p0.01_loss_origin.log,0.18282208588957055,0.48711656441717793
Cora_ML,inter,0.8,1.0,1,1,a0.80_g1.00_c0p0.01,log/1104/Cora_ML_aron_desc_inter_a0.80_g1.00_c0p0.01_seed1_r10.0_fmr0.5_d0.5_gmm_idx1_taga0.80_g1.00_c0p0.01_loss_origin.log,0.17423312883435582,0.49570552147239266
Cora_ML,inter,0.8,1.0,2,2,a0.80_g1.00_c0p0.01,log/1104/Cora_ML_aron_desc_inter_a0.80_g1.00_c0p0.01_seed2_r10.0_fmr0.5_d0.5_gmm_idx2_taga0.80_g1.00_c0p0.01_loss_origin.log,0.350920245398773,0.5325153374233129
Cora_ML,inter,0.8,1.0,3,3,a0.80_g1.00_c0p0.01,log/1104/Cora_ML_aron_desc_inter_a0.80_g1.00_c0p0.01_seed3_r10.0_fmr0.5_d0.5_gmm_idx3_taga0.80_g1.00_c0p0.01_loss_origin.log,0.2,0.561963190184049
Cora_ML,inter,0.8,1.0,4,4,a0.80_g1.00_c0p0.01,log/1104/Cora_ML_aron_desc_inter_a0.80_g1.00_c0p0.01_seed4_r10.0_fmr0.5_d0.5_gmm_idx4_taga0.80_g1.00_c0p0.01_loss_origin.log,0.3079754601226994,0.5128834355828221
Cora_ML,inter,0.8,1.0,5,5,a0.80_g1.00_c0p0.01,log/1104/Cora_ML_aron_desc_inter_a0.80_g1.00_c0p0.01_seed5_r10.0_fmr0.5_d0.5_gmm_idx5_taga0.80_g1.00_c0p0.01_loss_origin.log,0.19263803680981595,0.554601226993865
Cora_ML,inter,0.8,1.0,6,6,a0.80_g1.00_c0p0.01,log/1104/Cora_ML_aron_desc_inter_a0.80_g1.00_c0p0.01_seed6_r10.0_fmr0.5_d0.5_gmm_idx6_taga0.80_g1.00_c0p0.01_loss_origin.log,0.1901840490797546,0.5325153374233129
Cora_ML,inter,0.8,1.0,7,7,a0.80_g1.00_c0p0.01,log/1104/Cora_ML_aron_desc_inter_a0.80_g1.00_c0p0.01_seed7_r10.0_fmr0.5_d0.5_gmm_idx7_taga0.80_g1.00_c0p0.01_loss_origin.log,0.3067484662576687,0.5214723926380368
Cora_ML,inter,0.8,1.0,8,8,a0.80_g1.00_c0p0.01,log/1104/Cora_ML_aron_desc_inter_a0.80_g1.00_c0p0.01_seed8_r10.0_fmr0.5_d0.5_gmm_idx8_taga0.80_g1.00_c0p0.01_loss_origin.log,0.3889570552147239,0.5680981595092025
Cora_ML,inter,0.8,1.0,9,9,a0.80_g1.00_c0p0.01,log/1104/Cora_ML_aron_desc_inter_a0.80_g1.00_c0p0.01_seed9_r10.0_fmr0.5_d0.5_gmm_idx9_taga0.80_g1.00_c0p0.01_loss_origin.log,0.26012269938650306,0.5153374233128835
