file,path,dataset,ver,mode,method,seed,idx,run_tag,alpha,gamma,degree_thr,aug_ratio,aug_bound,topk_per_node,restricted,best_val_epoch,epochs_with_c0p,c0p_total_dropped_edges,c0p_last_drop_frac,c0p_last_isolated,c0p_min_isolated,c0p_max_isolated,test_hit3,test_hit10,test_roc,test_ap
Cora_ML_aron_desc_inter_a0.80_g1.00_c0p0.01_seed0_r10.0_fmr0.5_d0.5_gmm_idx0_taga0.80_g1.00_c0p0.01_loss_origin.log,./log/1104/Cora_ML_aron_desc_inter_a0.80_g1.00_c0p0.01_seed0_r10.0_fmr0.5_d0.5_gmm_idx0_taga0.80_g1.00_c0p0.01_loss_origin.log,Cora_ML,aron_desc_inter,inter,gmm,0,0,a0.80_g1.00_c0p0.01,0.8,1.0,0.5,10.0,0.5,64,1,20,70,2444,0.01,0,0,97,,,,
Cora_ML_aron_desc_inter_a0.80_g1.00_c0p0.01_seed1_r10.0_fmr0.5_d0.5_gmm_idx1_taga0.80_g1.00_c0p0.01_loss_origin.log,./log/1104/Cora_ML_aron_desc_inter_a0.80_g1.00_c0p0.01_seed1_r10.0_fmr0.5_d0.5_gmm_idx1_taga0.80_g1.00_c0p0.01_loss_origin.log,Cora_ML,aron_desc_inter,inter,gmm,1,1,a0.80_g1.00_c0p0.01,0.8,1.0,0.5,10.0,0.5,64,1,10,70,2480,0.01,0,0,97,,,,
Cora_ML_aron_desc_inter_a0.80_g1.00_c0p0.01_seed2_r10.0_fmr0.5_d0.5_gmm_idx2_taga0.80_g1.00_c0p0.01_loss_origin.log,./log/1104/Cora_ML_aron_desc_inter_a0.80_g1.00_c0p0.01_seed2_r10.0_fmr0.5_d0.5_gmm_idx2_taga0.80_g1.00_c0p0.01_loss_origin.log,Cora_ML,aron_desc_inter,inter,gmm,2,2,a0.80_g1.00_c0p0.01,0.8,1.0,0.5,10.0,0.5,64,1,10,70,2310,0.01,0,0,97,,,,
Cora_ML_aron_desc_inter_a0.80_g1.00_c0p0.01_seed3_r10.0_fmr0.5_d0.5_gmm_idx3_taga0.80_g1.00_c0p0.01_loss_origin.log,./log/1104/Cora_ML_aron_desc_inter_a0.80_g1.00_c0p0.01_seed3_r10.0_fmr0.5_d0.5_gmm_idx3_taga0.80_g1.00_c0p0.01_loss_origin.log,Cora_ML,aron_desc_inter,inter,gmm,3,3,a0.80_g1.00_c0p0.01,0.8,1.0,0.5,10.0,0.5,64,1,10,70,2486,0.01,0,0,97,,,,
Cora_ML_aron_desc_inter_a0.80_g1.00_c0p0.01_seed4_r10.0_fmr0.5_d0.5_gmm_idx4_taga0.80_g1.00_c0p0.01_loss_origin.log,./log/1104/Cora_ML_aron_desc_inter_a0.80_g1.00_c0p0.01_seed4_r10.0_fmr0.5_d0.5_gmm_idx4_taga0.80_g1.00_c0p0.01_loss_origin.log,Cora_ML,aron_desc_inter,inter,gmm,4,4,a0.80_g1.00_c0p0.01,0.8,1.0,0.5,10.0,0.5,64,1,50,70,2506,0.01,0,0,97,,,,
Cora_ML_aron_desc_inter_a0.80_g1.00_c0p0.01_seed5_r10.0_fmr0.5_d0.5_gmm_idx5_taga0.80_g1.00_c0p0.01_loss_origin.log,./log/1104/Cora_ML_aron_desc_inter_a0.80_g1.00_c0p0.01_seed5_r10.0_fmr0.5_d0.5_gmm_idx5_taga0.80_g1.00_c0p0.01_loss_origin.log,Cora_ML,aron_desc_inter,inter,gmm,5,5,a0.80_g1.00_c0p0.01,0.8,1.0,0.5,10.0,0.5,64,1,10,70,2584,0.01,0,0,97,,,,
Cora_ML_aron_desc_inter_a0.80_g1.00_c0p0.01_seed6_r10.0_fmr0.5_d0.5_gmm_idx6_taga0.80_g1.00_c0p0.01_loss_origin.log,./log/1104/Cora_ML_aron_desc_inter_a0.80_g1.00_c0p0.01_seed6_r10.0_fmr0.5_d0.5_gmm_idx6_taga0.80_g1.00_c0p0.01_loss_origin.log,Cora_ML,aron_desc_inter,inter,gmm,6,6,a0.80_g1.00_c0p0.01,0.8,1.0,0.5,10.0,0.5,64,1,10,70,2348,0.01,0,0,97,,,,
Cora_ML_aron_desc_inter_a0.80_g1.00_c0p0.01_seed7_r10.0_fmr0.5_d0.5_gmm_idx7_taga0.80_g1.00_c0p0.01_loss_origin.log,./log/1104/Cora_ML_aron_desc_inter_a0.80_g1.00_c0p0.01_seed7_r10.0_fmr0.5_d0.5_gmm_idx7_taga0.80_g1.00_c0p0.01_loss_origin.log,Cora_ML,aron_desc_inter,inter,gmm,7,7,a0.80_g1.00_c0p0.01,0.8,1.0,0.5,10.0,0.5,64,1,10,70,2290,0.01,0,0,97,,,,
Cora_ML_aron_desc_inter_a0.80_g1.00_c0p0.01_seed8_r10.0_fmr0.5_d0.5_gmm_idx8_taga0.80_g1.00_c0p0.01_loss_origin.log,./log/1104/Cora_ML_aron_desc_inter_a0.80_g1.00_c0p0.01_seed8_r10.0_fmr0.5_d0.5_gmm_idx8_taga0.80_g1.00_c0p0.01_loss_origin.log,Cora_ML,aron_desc_inter,inter,gmm,8,8,a0.80_g1.00_c0p0.01,0.8,1.0,0.5,10.0,0.5,64,1,10,70,2428,0.01,0,0,97,,,,
Cora_ML_aron_desc_inter_a0.80_g1.00_c0p0.01_seed9_r10.0_fmr0.5_d0.5_gmm_idx9_taga0.80_g1.00_c0p0.01_loss_origin.log,./log/1104/Cora_ML_aron_desc_inter_a0.80_g1.00_c0p0.01_seed9_r10.0_fmr0.5_d0.5_gmm_idx9_taga0.80_g1.00_c0p0.01_loss_origin.log,Cora_ML,aron_desc_inter,inter,gmm,9,9,a0.80_g1.00_c0p0.01,0.8,1.0,0.5,10.0,0.5,64,1,10,70,2470,0.01,0,0,97,,,,
